                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                0.42474,                0.31057,                0.88173,                0.97937,                0.96862,                0.99006,                0.90743,                 0.4393,                0.31638,                  0.862,              0.0006008,              0.0006008,              0.0006008
                    108,                0.46674,                0.33919,                0.89985,                 0.9793,                0.96547,                0.98913,                0.89499,                0.46751,                0.33245,                0.87314,              0.0005876,              0.0005876,              0.0005876
                    109,                0.41832,                0.30176,                0.87368,                0.96936,                0.96857,                0.98814,                0.91219,                0.41811,                0.31076,                0.85286,              0.0005744,              0.0005744,              0.0005744
                    110,                0.44166,                 0.3018,                0.87763,                0.96848,                0.96939,                0.98869,                0.91479,                0.42619,                0.29844,                0.84917,              0.0005612,              0.0005612,              0.0005612
                    111,                0.42385,                0.29002,                0.88532,                0.97913,                0.95745,                0.98794,                0.91424,                0.43451,                0.31387,                0.84656,               0.000548,               0.000548,               0.000548
                    112,                0.43231,                0.29915,                0.88949,                0.97978,                0.98867,                 0.9907,                0.91984,                0.42284,                0.30296,                0.85186,              0.0005348,              0.0005348,              0.0005348
                    113,                0.41804,                0.30092,                0.88001,                0.97956,                0.97809,                0.99174,                0.92343,                0.44076,                0.29919,                0.84813,              0.0005216,              0.0005216,              0.0005216
                    114,                0.42373,                0.28983,                0.87257,                0.98955,                0.96644,                 0.9917,                0.92303,                0.41985,                0.28794,                0.84909,              0.0005084,              0.0005084,              0.0005084
                    115,                0.42032,                0.28926,                0.88341,                0.99259,                0.93878,                0.99096,                 0.9202,                0.41672,                0.28666,                0.84468,              0.0004952,              0.0004952,              0.0004952
                    116,                0.42766,                 0.2951,                0.88339,                 0.9922,                0.94898,                0.99188,                0.93168,                0.40714,                0.28481,                0.84352,               0.000482,               0.000482,               0.000482
                    117,                0.40744,                0.28777,                0.88085,                0.98942,                0.95465,                0.99251,                0.92191,                0.42506,                0.28248,                0.84965,              0.0004688,              0.0004688,              0.0004688
